Template name; Detection time (UTC); Number of channels; Channel list; Detection value; Threshold; Threshold type; Input threshold; Detection type
tempate_433; 2013-07-24T14:44:25.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.9943842887878418; 0.7009217739105225; MAD; 5; corr
tempate_311; 2012-09-06T18:52:27.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.0192463397979736; 0.7260599732398987; MAD; 5; corr
tempate_343; 2012-01-13T10:32:45.509998Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.0528621673583984; 0.7606863975524902; MAD; 5; corr
tempate_473; 2013-05-04T10:12:34.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.3504555225372314; 1.0589337348937988; MAD; 5; corr
tempate_288; 2012-07-21T05:50:33.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.966032862663269; 0.6759012937545776; MAD; 5; corr
tempate_342; 2013-09-29T09:01:49.500001Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.0223491191864014; 0.7336914539337158; MAD; 5; corr
tempate_212; 2013-01-02T00:06:23.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.4023056030273438; 1.114768385887146; MAD; 5; corr
tempate_471; 2013-09-08T14:49:08.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.4202948808670044; 1.1334837675094604; MAD; 5; corr
tempate_314; 2013-12-17T20:41:33.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 2.3025527000427246; 2.0176339149475098; MAD; 5; corr
tempate_282; 2012-03-20T22:45:59.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.9815081357955933; 1.6972081661224365; MAD; 5; corr
tempate_393; 2013-01-08T15:35:52.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.1157515048980713; 0.8325166702270508; MAD; 5; corr
tempate_160; 2012-11-27T11:01:57.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -0.9507419466972351; 0.6676714420318604; MAD; 5; corr
tempate_503; 2012-01-15T03:59:49.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9449098110198975; 1.6625697612762451; MAD; 5; corr
tempate_492; 2013-12-20T09:51:32.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.2103121280670166; 0.9286247491836548; MAD; 5; corr
tempate_311; 2012-06-24T22:19:09.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.0319979190826416; 0.7506439089775085; MAD; 5; corr
